Name,Address,Telephone,lat,lon
"Masjid Hamza,  Islamic Center of Mira Mesa","9235 Activity Rd. Suite 112, San Diego, CA- 92126",,32.8964713,-117.1286353
Islamic Society of North County,"7151 Primrose Ln, San Diego, CA- 92129",619-770-0021,32.9620633,-117.1644566
Masjid Al Noor,"3872 50th St, San Diego, CA- 92105",619-282-0037,32.7487675,-117.0874527
Ar Rribat Islamic Center,"7173 Saranac St. No. 204, San Diego, CA- 92115",619-589-6200,32.7707064,-117.0433193
Masjid Al-Ansar,"4014 Winona Ave., San Diego, CA- 92105",619-282-4407,32.7498149,-117.0883031
"Masjid E Tauhid, Afghan Community Islamic Center","3333 Sandrock Rd., San Diego, CA- 92123",858-560-9191,32.8034356,-117.1390216
Islamic Education Center of San Diego,"8977 Activity Rd. Suite 103, San Diego, CA- 92126",858-689-8888,32.8959768,-117.1324958
Masjidul Taqwa,"2575 Imperial Ave, San Diego, CA- 92102",619-239-6738,32.7061008,-117.1384702
Muslim Community Center of Greater San Diego,"14698 Via Fiesta, San Diego, CA- 92127",858-756-5100,32.9919422,-117.1649391
Islamic Center of San Diego,"7050 Eckstorm Ave, San Diego, CA- 92111",858-278-5240,32.82058420000001,-117.1654905
Mas-San Diego,"11347 Zapata Ave., San Diego, CA- 92126",858-603-9221,32.9268182,-117.1425288
Logan Islamic Community Center,"5077 Logan Ave., San Diego, CA- 92113",,32.6964824,-117.0860349
